sensor_ID,sensor_type_ID,sensor_name,serial_number,x,y,elevation,spatial_precision,price,warranty,connection_ID,note,Height_Mesured_Layer_[mm],T1_depth_[mm],T2_depth_[mm],T3_depth_[mm],Measured_Depth_Layer_[mm],location,tree,spatial precision,T1 hloubka,T2 hloubka,T3 hloubka,vlhkost interval,instalace,povodi,transekt,vrt,X,Y
26,TMS4,BP_I_3_smrk,94212726,-783160.5292,-1036316.38,418,raw - ortofoto,2¬†240.00 Kƒç,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,3,smrk,,,,,,,,,,13.8507789472324,50.0970510117696
44,TMS4,BP_I_3_smrk,94218467,-783155.1544,-1036311.237,417,raw - ortofoto,2¬†420.00 Kƒç,30.04.2023,USB cabel,long_size_L27,140,50,-150,-230,290,3,smrk,,,,,,,,,,13.8508429590683,50.0971037300278
52,TMS4,BP_I_3_smrk,94218476,-783154.8671,-1036318.285,418,raw - ortofoto,2¬†420.00 Kƒç,30.04.2023,USB cabel,long_size_L31,140,50,-150,-230,290,3,smrk,,,,,,,,,,13.8508611056452,50.0970413835367
53,TMS4,BP_I_3_smrk,94218477,-783162.6988,-1036313.205,417,raw - ortofoto,2¬†420.00 Kƒç,30.04.2023,USB cabel,long_size_L32,140,50,-150,-230,290,3,smrk,,,,,,,,,,13.8507425492614,50.0970764588206
,TMS 3,BP III 3,93148337,-781733,-1035840,375,,,,,"",,,,,,,,souranice_vrtu,-10,-2,interval 0 aû +20cm,< -2;-16 >,3_12_2020,BP,III,3,13.8695714325439,50.1031351408986
,TMS 3,BP III 3,93148339,-781733,-1035840,375,,,,,"",,,,,,,,souranice_vrtu,-20,-12,interval 0 aû +20cm,< -12;-26 >,3_12_2020,BP,III,3,13.8695714325439,50.1031351408986
,TMS 3,BP III 2,93148342,-781774,-1036005,395,,,,,"",,,,,,,,souranice_vrtu,-10,-2,interval 0 aû +20cm,< -2;-16 >,25_3_2021,BP,III,2,13.8693354179621,50.1016138604357
,TMS 3,BP II 5,93148343,-782293,-1035947,386,,,,,"",,,,,,,,souranice_vrtu,-10,-2,interval 0 aû +20cm,< -2;-16 >,3_12_2020,BP,II,5,13.8620383681291,50.1014596043314
,TMS 3,BP III 2,93148349,-781774,-1036005,395,,,,,"",,,,,,,,souranice_vrtu,-20,-12,interval 0 aû +20cm,< -12;-26 >,25_3_2021,BP,III,2,13.8693354179621,50.1016138604357
,TMS 3,BP III 2,93148351,-781774,-1036005,395,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,25_3_2021,BP,III,2,13.8693354179621,50.1016138604357
,TMS 4,BP II 1,94206021,-782219,-1036871,446,,,,,"",,,,,,,,souranice_vrtu,-10,-2,interval 0 aû +20cm,< -2;-16 >,26_11_2020,BP,II,1,13.8649179298843,50.0933326007768
,TMS 4,BP II 3,94206022,-782349,-1036382,428,,,,,"",,,,,,,,souranice_vrtu,-20,-12,interval 0 aû +20cm,< -12;-26 >,26_11_2020,BP,II,3,13.8621374628831,50.0975162229292
,TMS 4,BP II 3,94206023,-782349,-1036382,428,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,26_11_2020,BP,II,3,13.8621374628831,50.0975162229292
,TMS 4,BP I 1,94206024,-783109,-1036700,440,,,,,"",,,,,,,,souranice_vrtu,-10,-2,interval 0 aû +20cm,< -2;-16 >,3_9_2020,BP,I,1,13.8522630732992,50.0937039309457
,TMS 4,BP I 2,94206025,-783142,-1036480,430,,,,,"",,,,,,,,souranice_vrtu,-10,-2,interval 0 aû +20cm,< -2;-16 >,3_9_2020,BP,I,2,13.8513642671937,50.095618970649
,TMS 4,BP I 4,94206026,-783013,-1036108,406,,,,,"",,,,,,,,souranice_vrtu,-10,-2,interval 0 aû +20cm,< -2;-16 >,29_9_2020,BP,I,4,13.852400877644,50.0990961396389
,TMS 4,BP I 4,94206027,-783013,-1036108,406,,,,,"",,,,,,,,souranice_vrtu,-20,-12,interval 0 aû +20cm,< -12;-26 >,29_9_2020,BP,I,4,13.852400877644,50.0990961396389
,TMS 4,BP II 1,94206029,-782219,-1036871,446,,,,,"",,,,,,,,souranice_vrtu,-20,-12,interval 0 aû +20cm,< -12;-26 >,26_11_2020,BP,II,1,13.8649179298843,50.0933326007768
,TMS 4,BP I 3,94206031,-783124,-1036295,415,,,,,"",,,,,,,,souranice_vrtu,-10,-2,interval 0 aû +20cm,< -2;-16 >,26_11_2020,BP,I,3,13.8512412924304,50.09728851517
,TMS 4,BP I 3,94206032,-783124,-1036295,415,,,,,"",,,,,,,,souranice_vrtu,-20,-12,interval 0 aû +20cm,< -12;-26 >,26_11_2020,BP,I,3,13.8512412924304,50.09728851517
,TMS 4,BP II 5,94208512,-782293,-1035947,386,,,,,"",,,,,,,,souranice_vrtu,-20,-12,interval 0 aû +20cm,< -12;-26 >,3_12_2020,BP,II,5,13.8620383681291,50.1014596043314
,TMS 4,BP II 5,94208514,-782293,-1035947,386,,,,,p¯ekousl_kanec?,,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,,BP,II,5,13.8620383681291,50.1014596043314
,TMS 4,BP I 1,94208516,-783109,-1036700,440,,,,,"",,,,,,,,souranice_vrtu,-20,-12,interval 0 aû +20cm,< -12;-26 >,3_9_2020,BP,I,1,13.8522630732992,50.0937039309457
,TMS 4,BP II 2,94208517,-782339,-1036593,439,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,3_12_2020,BP,II,2,13.8626996251134,50.0956514737182
,TMS 4,BP I 2,94208518,-783142,-1036480,430,,,,,"",,,,,,,,souranice_vrtu,-20,-12,interval 0 aû +20cm,< -12;-26 >,9_2020,BP,I,2,13.8513642671937,50.095618970649
,TMS 4,BP III 1,94208519,-781792,-1036237,408,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,9_2020,BP,III,1,13.8695521255976,50.0995260436834
,TMS 4,BP III 3,94208520,-781733,-1035840,375,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,9_2020,BP,III,3,13.8695714325439,50.1031351408986
,TMS 4,BP I 4,94208522,-783013,-1036108,406,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,9_2020,BP,I,4,13.852400877644,50.0990961396389
,TMS 4,BP II 2,94208523,-782339,-1036593,439,,,,,"",,,,,,,,souranice_vrtu,-20,-12,interval 0 aû +20cm,< -12;-26 >,9_2020,BP,II,2,13.8626996251134,50.0956514737182
,TMS 4,BP III 1,94208524,-781792,-1036237,408,,,,,"",,,,,,,,souranice_vrtu,-20,-12,interval 0 aû +20cm,< -12;-26 >,9_2020,BP,III,1,13.8695521255976,50.0995260436834
,TMS 4,BP I 3,94208525,-783124,-1036295,415,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,9_2020,BP,I,3,13.8512412924304,50.09728851517
,TMS 4,BP I 1,94208527,-783109,-1036700,440,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,9_2020,BP,I,1,13.8522630732992,50.0937039309457
,TMS 4,BP I 2,94208528,-783142,-1036480,430,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,9_2020,BP,I,2,13.8513642671937,50.095618970649
,TMS 4,BP II 2,94208529,-782339,-1036593,439,,,,,"",,,,,,,,souranice_vrtu,-10,-2,interval 0 aû +20cm,< -2;-16 >,9_2020,BP,II,2,13.8626996251134,50.0956514737182
,TMS 4,BP II 3,94208530,-782349,-1036382,428,,,,,"",,,,,,,,souranice_vrtu,-10,-2,interval 0 aû +20cm,< -2;-16 >,9_2020,BP,II,3,13.8621374628831,50.0975162229292
,TMS 4,BP II 1,94208531,-782219,-1036871,446,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,9_2020,BP,II,1,13.8649179298843,50.0933326007768
,TMS 4,BP III 1,94208532,-781792,-1036237,408,,,,,"",,,,,,,,souranice_vrtu,-10,-2,interval 0 aû +20cm,< -2;-16 >,9_2020,BP,III,1,13.8695521255976,50.0995260436834
,TMS 4,KL III 2,94212731,-781775,-1034386,404,,,,,"",,,,,,,,souranice_vrtu,-15,-7,interval 0 aû +20cm,< -7; -21 >,04.05.2021,KL,III,2,13.8660703464978,50.1160200230682
,TMS 4,KL I 5,94212732,-783349,-1034177,428,,,,,"",,,,,,,,souranice_vrtu,-15,-7,interval 0 aû +20cm,< -7; -21 >,04.05.2021,KL,I,5,13.8438670912423,50.115844710869
,TMS 4,KL III 1,94212733,-781777,-1034209,417,,,,,"",,,,,,,,souranice_vrtu,-15,-7,interval 0 aû +20cm,< -7; -21 >,04.05.2021,KL,III,1,13.8656871011258,50.1175925519827
,TMS 4,KL I 7,94212734,-783341,-1034630,437,,,,,"",,,,,,,,souranice_vrtu,-15,-7,interval 0 aû +20cm,< -7; -21 >,04.05.2021,KL,I,7,13.8448895541,50.1118240117267
,TMS 4,KL II 3,94212735,-782526,-1034304,399,,,,,"",,,,,,,,souranice_vrtu,-15,-7,interval 0 aû +20cm,< -7; -21 >,04.05.2021,KL,II,3,13.8555121539069,50.1157792216825
,TMS 4,KL I 4,94212736,-783360,-1034059,424,,,,,"",,,,,,,,souranice_vrtu,-15,-7,interval 0 aû +20cm,< -7; -21 >,04.05.2021,KL,I,4,13.843477334114,50.1168805028593
,TMS 4,KL II 2,94212737,-782579,-1034091,428,,,,,"",,,,,,,,souranice_vrtu,-15,-7,interval 0 aû +20cm,< -7; -21 >,04.05.2021,KL,II,2,13.854350346335,50.1176061272891
,TMS 4,KL I 6,94212738,-783324,-1034397,438,,,,,"",,,,,,,,souranice_vrtu,-15,-7,interval 0 aû +20cm,< -7; -21 >,04.05.2021,KL,I,6,13.8446558676954,50.113919382263
,TMS 4,KL III 3,94212739,-781844,-1034497,394,,,,,"",,,,,,,,souranice_vrtu,-15,-7,interval 0 aû +20cm,< -7; -21 >,04.05.2021,KL,III,3,13.865338406125,50.1149431135054
,TMS 4,KL III 1,94218431,-781777,-1034209,417,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,04.05.2021,KL,III,1,13.8656871011258,50.1175925519827
